Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.01	10	0.0	0.0	10	0	0.11
[784, 30, 10]	0.01	10	0.0	0.0	30	0	0.11
[784, 30, 10]	0.01	10	0.0	0.1	10	0	0.08
[784, 30, 10]	0.01	10	0.0	0.1	30	0	0.08
[784, 30, 10]	0.01	10	0.0	0.5	10	0	0.08
[784, 30, 10]	0.01	10	0.0	0.5	30	0	0.08
[784, 30, 10]	0.01	10	0.0	0.9	10	0	0.08
[784, 30, 10]	0.01	10	0.0	0.9	30	0	0.08
[784, 30, 10]	0.01	10	0.01	0.0	10	0	0.1
[784, 30, 10]	0.01	10	0.01	0.0	30	0	0.17
[784, 30, 10]	0.01	10	0.01	0.1	10	0	0.08
[784, 30, 10]	0.01	10	0.01	0.1	30	0	0.08
[784, 30, 10]	0.01	10	0.01	0.5	10	0	0.08
[784, 30, 10]	0.01	10	0.01	0.5	30	0	0.08
[784, 30, 10]	0.01	10	0.01	0.9	10	0	0.08
[784, 30, 10]	0.01	10	0.01	0.9	30	0	0.08
[784, 30, 10]	0.01	10	0.1	0.0	10	0	0.12
[784, 30, 10]	0.01	10	0.1	0.0	30	0	0.13
[784, 30, 10]	0.01	10	0.1	0.1	10	0	0.08
[784, 30, 10]	0.01	10	0.1	0.1	30	0	0.08
[784, 30, 10]	0.01	10	0.1	0.5	10	0	0.08
[784, 30, 10]	0.01	10	0.1	0.5	30	0	0.08
[784, 30, 10]	0.01	10	0.1	0.9	10	0	0.08
[784, 30, 10]	0.01	10	0.1	0.9	30	0	0.08
[784, 30, 10]	0.01	10	1.0	0.0	10	0	0.11
[784, 30, 10]	0.01	10	1.0	0.0	30	0	0.1
[784, 30, 10]	0.01	10	1.0	0.1	10	0	0.08
[784, 30, 10]	0.01	10	1.0	0.1	30	0	0.08
[784, 30, 10]	0.01	10	1.0	0.5	10	0	0.08
[784, 30, 10]	0.01	10	1.0	0.5	30	0	0.08
[784, 30, 10]	0.01	10	1.0	0.9	10	0	0.08
[784, 30, 10]	0.01	10	1.0	0.9	30	0	0.08
[784, 30, 10]	0.01	10	10.0	0.0	10	0	0.15
[784, 30, 10]	0.01	10	10.0	0.0	30	0	0.12
[784, 30, 10]	0.01	10	10.0	0.1	10	0	0.08
[784, 30, 10]	0.01	10	10.0	0.1	30	0	0.08
[784, 30, 10]	0.01	10	10.0	0.5	10	0	0.08
[784, 30, 10]	0.01	10	10.0	0.5	30	0	0.08
[784, 30, 10]	0.01	10	10.0	0.9	10	0	0.08
[784, 30, 10]	0.01	10	10.0	0.9	30	0	0.08
[784, 30, 10]	0.01	10	100.0	0.0	10	0	0.15
[784, 30, 10]	0.01	10	100.0	0.0	30	0	0.16
[784, 30, 10]	0.01	10	100.0	0.1	10	0	0.08
[784, 30, 10]	0.01	10	100.0	0.1	30	0	0.08
[784, 30, 10]	0.01	10	100.0	0.5	10	0	0.08
[784, 30, 10]	0.01	10	100.0	0.5	30	0	0.08
[784, 30, 10]	0.01	10	100.0	0.9	10	0	0.08
[784, 30, 10]	0.01	10	100.0	0.9	30	0	0.08
[784, 30, 10]	0.01	100	0.0	0.0	10	0	0.02
[784, 30, 10]	0.01	100	0.0	0.0	30	0	0.08
[784, 30, 10]	0.01	100	0.0	0.1	10	0	0.08
[784, 30, 10]	0.01	100	0.0	0.1	30	0	0.08
[784, 30, 10]	0.01	100	0.0	0.5	10	0	0.08
[784, 30, 10]	0.01	100	0.0	0.5	30	0	0.08
[784, 30, 10]	0.01	100	0.0	0.9	10	0	0.08
[784, 30, 10]	0.01	100	0.0	0.9	30	0	0.08
[784, 30, 10]	0.01	100	0.01	0.0	10	0	0.02
[784, 30, 10]	0.01	100	0.01	0.0	30	0	0.12
[784, 30, 10]	0.01	100	0.01	0.1	10	0	0.08
[784, 30, 10]	0.01	100	0.01	0.1	30	0	0.08
[784, 30, 10]	0.01	100	0.01	0.5	10	0	0.08
[784, 30, 10]	0.01	100	0.01	0.5	30	0	0.08
[784, 30, 10]	0.01	100	0.01	0.9	10	0	0.08
[784, 30, 10]	0.01	100	0.01	0.9	30	0	0.08
[784, 30, 10]	0.01	100	0.1	0.0	10	0	0.09
[784, 30, 10]	0.01	100	0.1	0.0	30	0	0.17
[784, 30, 10]	0.01	100	0.1	0.1	10	0	0.08
[784, 30, 10]	0.01	100	0.1	0.1	30	0	0.08
[784, 30, 10]	0.01	100	0.1	0.5	10	0	0.08
[784, 30, 10]	0.01	100	0.1	0.5	30	0	0.08
[784, 30, 10]	0.01	100	0.1	0.9	10	0	0.08
[784, 30, 10]	0.01	100	0.1	0.9	30	0	0.08
[784, 30, 10]	0.01	100	1.0	0.0	10	0	0.11
[784, 30, 10]	0.01	100	1.0	0.0	30	0	0.06
[784, 30, 10]	0.01	100	1.0	0.1	10	0	0.08
[784, 30, 10]	0.01	100	1.0	0.1	30	0	0.08
[784, 30, 10]	0.01	100	1.0	0.5	10	0	0.08
[784, 30, 10]	0.01	100	1.0	0.5	30	0	0.08
[784, 30, 10]	0.01	100	1.0	0.9	10	0	0.08
[784, 30, 10]	0.01	100	1.0	0.9	30	0	0.08
