Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 50, 10]	1	10	0.5	0.9	20	5	0.9228
[784, 50, 10]	1	10	0.3	0.9	20	6	0.9207
[784, 50, 10]	1	10	0.1	0.9	20	7	0.9163
[784, 50, 10]	1	10	0.08	0.9	20	6	0.9153
[784, 50, 10]	1	10	0.05	0.9	20	5	0.914
[784, 50, 10]	1	10	0.3	0.8	20	6	0.902
[784, 50, 10]	1	10	0.5	0.8	20	5	0.9015
[784, 50, 10]	1	10	0.1	0.8	20	6	0.8977
[784, 50, 10]	1	10	0.05	0.8	20	5	0.8966
[784, 50, 10]	1	10	0.08	0.8	20	6	0.8962
[784, 50, 10]	1	10	0.5	0.5	20	6	0.8762
[784, 50, 10]	1	10	0.5	0.3	20	7	0.8682
[784, 50, 10]	1	10	0.3	0.5	20	6	0.8671
[784, 50, 10]	1	10	0.1	0.5	20	6	0.8619
[784, 50, 10]	1	10	0.3	0.3	20	6	0.8591
[784, 50, 10]	1	10	0.08	0.5	20	6	0.8536
[784, 50, 10]	1	10	0.05	0.5	20	5	0.8507
[784, 50, 10]	1	10	0.1	0.3	20	6	0.843
[784, 50, 10]	1	10	0.08	0.3	20	5	0.8358
[784, 50, 10]	1	10	0.05	0.3	20	6	0.8349
[784, 50, 10]	1	10	0.08	1	20	7	0.8153
[784, 50, 10]	1	10	0.05	1	20	5	0.7983
[784, 50, 10]	1	10	0.5	1	20	5	0.7414
[784, 50, 10]	1	10	0.1	1	20	7	0.6794
[784, 50, 10]	1	10	0.3	1	20	7	0.3895
